1. Using architecture PEs=4, L1=16, L2=128
    12. Model squeezenet with 26 layers: 1.089e+01
    13. Model try with 3 layers: 5.828e+00
    14. Model resnet18 with 20 layers: 9.042e+00
    15. Model vgg16 with 13 layers: 1.144e+01
    16. Model densenet with 160 layers: 9.084e+00
    17. Model T5_m with 6 layers: 3.255e+00
    18. Model resnext50_32x4d with 53 layers: 8.028e+00
    19. Model BERT_m with 6 layers: 4.020e+00
    20. Model ALBERT_m with 5 layers: 7.460e+00

Final result with all models and fixed hardware = 8.165905077131256

152. Using architecture PEs=512, L1=64, L2=256
    1. Model mnasnet with 52 layers: 1.554e+01
    2. Model ncf_m with 12 layers: 7.897e+00
    3. Model mobilenet_v2 with 52 layers: 1.445e+01
    4. Model googlenet with 59 layers: 1.406e+01
    5. Model dlrmRMC1_m with 6 layers: 1.070e+01
    6. Model alexnet with 5 layers: 1.507e+01
    7. Model transformer with 96 layers: 1.095e+01
    8. Model resnet50 with 53 layers: 1.578e+01
    9. Model wide_resnet50 with 53 layers: 1.426e+01
    10. Model manual with 3 layers: 1.899e+01
    11. Model shufflenet_v2 with 56 layers: 1.447e+01
    12. Model squeezenet with 26 layers: 2.002e+01
    13. Model try with 3 layers: 9.151e+00
    14. Model resnet18 with 20 layers: 1.735e+01
    15. Model vgg16 with 13 layers: 1.909e+01
    16. Model densenet with 160 layers: 1.741e+01
    17. Model T5_m with 6 layers: 1.116e+01
    18. Model resnext50_32x4d with 53 layers: 1.590e+01
    19. Model BERT_m with 6 layers: 1.309e+01
    20. Model ALBERT_m with 5 layers: 2.274e+01

Final result with all models and fixed hardware = 15.106871419485792

153. Using architecture PEs=512, L1=64, L2=512
    1. Model mnasnet with 52 layers: 2.963e+01
    2. Model ncf_m with 12 layers: 2.839e+01
    3. Model mobilenet_v2 with 52 layers: 2.648e+01
    4. Model googlenet with 59 layers: 3.400e+01
    5. Model dlrmRMC1_m with 6 layers: 1.619e+01
    6. Model alexnet with 5 layers: 2.479e+01
    7. Model transformer with 96 layers: 1.559e+01
    8. Model resnet50 with 53 layers: 2.928e+01
    9. Model wide_resnet50 with 53 layers: 2.819e+01
    10. Model manual with 3 layers: 2.349e+01
    11. Model shufflenet_v2 with 56 layers: 3.031e+01
    12. Model squeezenet with 26 layers: 3.599e+01
    13. Model try with 3 layers: 2.392e+01
    14. Model resnet18 with 20 layers: 3.046e+01
    15. Model vgg16 with 13 layers: 3.513e+01
    16. Model densenet with 160 layers: 2.898e+01
    17. Model T5_m with 6 layers: 9.650e+00
    18. Model resnext50_32x4d with 53 layers: 3.164e+01
    19. Model BERT_m with 6 layers: 1.633e+01
    20. Model ALBERT_m with 5 layers: 1.992e+01

Final result with all models and fixed hardware = 27.65712908254397

154. Using architecture PEs=512, L1=64, L2=1024
    1. Model mnasnet with 52 layers: 5.531e+01
    2. Model ncf_m with 12 layers: 7.439e+01
    3. Model mobilenet_v2 with 52 layers: 6.062e+01
    4. Model googlenet with 59 layers: 6.143e+01
    5. Model dlrmRMC1_m with 6 layers: 6.268e+01
    6. Model alexnet with 5 layers: 9.824e+01
    7. Model transformer with 96 layers: 3.163e+01
    8. Model resnet50 with 53 layers: 7.088e+01
    9. Model wide_resnet50 with 53 layers: 6.054e+01
    10. Model manual with 3 layers: 2.775e+01
    11. Model shufflenet_v2 with 56 layers: 5.925e+01
    12. Model squeezenet with 26 layers: 6.615e+01
    13. Model try with 3 layers: 3.800e+01
    14. Model resnet18 with 20 layers: 5.216e+01
    15. Model vgg16 with 13 layers: 7.823e+01
    16. Model densenet with 160 layers: 7.737e+01
    17. Model T5_m with 6 layers: 6.809e+01
    18. Model resnext50_32x4d with 53 layers: 7.168e+01
    19. Model BERT_m with 6 layers: 2.027e+01
    20. Model ALBERT_m with 5 layers: 5.497e+01

Final result with all models and fixed hardware = 61.831471151556165

155. Using architecture PEs=512, L1=64, L2=2048
    1. Model mnasnet with 52 layers: 1.074e+02
    2. Model ncf_m with 12 layers: 1.091e+02
    3. Model mobilenet_v2 with 52 layers: 9.422e+01
    4. Model googlenet with 59 layers: 1.141e+02
    5. Model dlrmRMC1_m with 6 layers: 9.340e+01
    6. Model alexnet with 5 layers: 1.355e+02
    7. Model transformer with 96 layers: 6.783e+01
    8. Model resnet50 with 53 layers: 1.299e+02
    9. Model wide_resnet50 with 53 layers: 9.977e+01
    10. Model manual with 3 layers: 5.374e+01
    11. Model shufflenet_v2 with 56 layers: 9.555e+01
    12. Model squeezenet with 26 layers: 1.068e+02
    13. Model try with 3 layers: 7.811e+01
    14. Model resnet18 with 20 layers: 1.155e+02
    15. Model vgg16 with 13 layers: 9.731e+01
    16. Model densenet with 160 layers: 1.037e+02
    17. Model T5_m with 6 layers: 1.010e+02
    18. Model resnext50_32x4d with 53 layers: 9.398e+01
    19. Model BERT_m with 6 layers: 5.302e+01
    20. Model ALBERT_m with 5 layers: 5.185e+01

Final result with all models and fixed hardware = 99.20324617050069

156. Using architecture PEs=512, L1=128, L2=128
    1. Model mnasnet with 52 layers: 8.415e+00
    2. Model ncf_m with 12 layers: 3.982e+00
    3. Model mobilenet_v2 with 52 layers: 9.260e+00
    4. Model googlenet with 59 layers: 9.187e+00
    5. Model dlrmRMC1_m with 6 layers: 4.778e+00
    6. Model alexnet with 5 layers: 6.800e+00
    7. Model transformer with 96 layers: 4.890e+00
    8. Model resnet50 with 53 layers: 8.399e+00
    9. Model wide_resnet50 with 53 layers: 8.121e+00
    10. Model manual with 3 layers: 6.626e+00
    11. Model shufflenet_v2 with 56 layers: 8.294e+00
    12. Model squeezenet with 26 layers: 1.147e+01
    13. Model try with 3 layers: 7.884e+00
    14. Model resnet18 with 20 layers: 1.004e+01
    15. Model vgg16 with 13 layers: 9.063e+00
    16. Model densenet with 160 layers: 8.768e+00
    17. Model T5_m with 6 layers: 3.725e+00
    18. Model resnext50_32x4d with 53 layers: 8.976e+00
    19. Model BERT_m with 6 layers: 4.861e+00
    20. Model ALBERT_m with 5 layers: 6.793e+00

Final result with all models and fixed hardware = 8.126643879566984

157. Using architecture PEs=512, L1=128, L2=256
    1. Model mnasnet with 52 layers: 1.511e+01
    2. Model ncf_m with 12 layers: 7.847e+00
    3. Model mobilenet_v2 with 52 layers: 1.450e+01
    4. Model googlenet with 59 layers: 1.681e+01
    5. Model dlrmRMC1_m with 6 layers: 1.199e+01
    6. Model alexnet with 5 layers: 1.015e+01
    7. Model transformer with 96 layers: 8.687e+00
    8. Model resnet50 with 53 layers: 1.599e+01
    9. Model wide_resnet50 with 53 layers: 1.503e+01
    10. Model manual with 3 layers: 2.065e+01
    11. Model shufflenet_v2 with 56 layers: 1.587e+01
    12. Model squeezenet with 26 layers: 1.991e+01
    13. Model try with 3 layers: 7.881e+00
    14. Model resnet18 with 20 layers: 2.039e+01
    15. Model vgg16 with 13 layers: 1.641e+01
    16. Model densenet with 160 layers: 1.740e+01
    17. Model T5_m with 6 layers: 4.678e+00
    18. Model resnext50_32x4d with 53 layers: 1.504e+01
    19. Model BERT_m with 6 layers: 6.077e+00
    20. Model ALBERT_m with 5 layers: 1.166e+01

Final result with all models and fixed hardware = 14.94365500135318

158. Using architecture PEs=512, L1=128, L2=512
    1. Model mnasnet with 52 layers: 3.111e+01
    2. Model ncf_m with 12 layers: 2.106e+01
    3. Model mobilenet_v2 with 52 layers: 2.408e+01
    4. Model googlenet with 59 layers: 3.185e+01
    5. Model dlrmRMC1_m with 6 layers: 2.552e+01
    6. Model alexnet with 5 layers: 1.598e+01
    7. Model transformer with 96 layers: 1.924e+01
    8. Model resnet50 with 53 layers: 2.913e+01
    9. Model wide_resnet50 with 53 layers: 2.627e+01
    10. Model manual with 3 layers: 3.289e+01
    11. Model shufflenet_v2 with 56 layers: 3.417e+01
    12. Model squeezenet with 26 layers: 4.289e+01
    13. Model try with 3 layers: 3.681e+01
    14. Model resnet18 with 20 layers: 2.615e+01
    15. Model vgg16 with 13 layers: 3.285e+01
    16. Model densenet with 160 layers: 2.558e+01
    17. Model T5_m with 6 layers: 2.170e+01
    18. Model resnext50_32x4d with 53 layers: 3.044e+01
    19. Model BERT_m with 6 layers: 1.584e+01
    20. Model ALBERT_m with 5 layers: 1.766e+01

Final result with all models and fixed hardware = 27.367221999999998

159. Using architecture PEs=512, L1=128, L2=1024
    1. Model mnasnet with 52 layers: 4.856e+01
    2. Model ncf_m with 12 layers: 7.589e+01
    3. Model mobilenet_v2 with 52 layers: 6.311e+01
    4. Model googlenet with 59 layers: 6.273e+01
    5. Model dlrmRMC1_m with 6 layers: 5.688e+01
    6. Model alexnet with 5 layers: 7.835e+01
    7. Model transformer with 96 layers: 3.287e+01
    8. Model resnet50 with 53 layers: 6.159e+01
    9. Model wide_resnet50 with 53 layers: 5.731e+01
    10. Model manual with 3 layers: 3.244e+01
    11. Model shufflenet_v2 with 56 layers: 6.442e+01
    12. Model squeezenet with 26 layers: 6.114e+01
    13. Model try with 3 layers: 3.866e+01
    14. Model resnet18 with 20 layers: 5.260e+01
    15. Model vgg16 with 13 layers: 7.054e+01
    16. Model densenet with 160 layers: 7.133e+01
    17. Model T5_m with 6 layers: 2.781e+01
    18. Model resnext50_32x4d with 53 layers: 6.221e+01
    19. Model BERT_m with 6 layers: 2.036e+01
    20. Model ALBERT_m with 5 layers: 1.902e+01

Final result with all models and fixed hardware = 58.29894944248985

160. Using architecture PEs=512, L1=128, L2=2048
    1. Model mnasnet with 52 layers: 1.159e+02
    2. Model ncf_m with 12 layers: 8.109e+01
    3. Model mobilenet_v2 with 52 layers: 9.161e+01
    4. Model googlenet with 59 layers: 1.195e+02
    5. Model dlrmRMC1_m with 6 layers: 8.442e+01
    6. Model alexnet with 5 layers: 9.322e+01
    7. Model transformer with 96 layers: 8.666e+01
    8. Model resnet50 with 53 layers: 9.613e+01
    9. Model wide_resnet50 with 53 layers: 9.965e+01
    10. Model manual with 3 layers: 1.427e+02
    11. Model shufflenet_v2 with 56 layers: 9.665e+01
    12. Model squeezenet with 26 layers: 1.071e+02
    13. Model try with 3 layers: 3.337e+01
    14. Model resnet18 with 20 layers: 1.154e+02
    15. Model vgg16 with 13 layers: 6.867e+01
    16. Model densenet with 160 layers: 1.104e+02
    17. Model T5_m with 6 layers: 7.593e+01
    18. Model resnext50_32x4d with 53 layers: 8.993e+01
    19. Model BERT_m with 6 layers: 9.993e+01
    20. Model ALBERT_m with 5 layers: 1.050e+02

Final result with all models and fixed hardware = 100.70624503382952
